subset,numero,giocatore,squadra
Captain,1,Calabria Davide,AC Milan
Base,33,Boga Jeremie,Atalanta BC
Score Signatures,35,Pessina Matteo,AC Monza
Breakthrough,25,Beto,Udinese Calcio
Score Team,7,Pellegrini Lorenzo,AS Roma
Base,51,Pickel Charles,US Cremonese
Base,67,Destro Mattia,Empoli FC
Base,96,Bremer Gleison,Juventus
Base,31,Zapata Duvan,Atalanta BC
Base,58,Ascacibar Santiago,US Cremonese
Hot Rookies,14,Romero Luka,SS Lazio
Base,61,Parisi Fabiano,Empoli FC
All Hands Team,4,Vicario Guglielmo,Empoli FC
Next Up,14,Hojlund Rasmus,Atalanta BC
Next Up,16,Elmas Eljif,SSC Napoli
Score Team,25,Lobotka Stanislav,SSC Napoli
Base,92,Danilo,Juventus
Breakthrough,17,Villar Gonzalo,UC Sampdoria
Base,5,Giroud Olivier,AC Milan
Captain,10,Marco Ferrari Gian,US Sassuolo Calcio
Base,117,Caprari Gianluca,AC Monza
Score Signatures,17,Cabrini Antonio,Juventus
Score Team,24,Milinkovic-Savic Sergej,SS Lazio
Base,77,Brozovic Marcelo,FC Internazionale Milano
Intergalactic,16,Kvaratskhelia Khvicha,SSC Napoli
Base,60,Chiriches Vlad,US Cremonese
Base,94,Miretti Fabio,Juventus
Base,46,Arnautovic Marko,Bologna FC
All Hands Team,7,Consigli Andrea,US Sassuolo Calcio
Game Face,3,Hernandez Theo,AC Milan
Score Signatures,19,Nesta Alessandro,SS Lazio
Score Team,18,McKennie Weston,Juventus
Base,26,Zalewski Nicola,AS Roma
Captain,5,Pessina Matteo,AC Monza
Base,74,Calhanoglu Hakan,FC Internazionale Milano
Base,2,De Ketelaere Charles,AC Milan
Base,30,Celik Zeki,AS Roma
Base,84,Faraoni Davide,Hellas Verona FC
Base,184,Bonazzoli Federico,US Salernitana
Base,172,Nuytinck Bram,Udinese Calcio
Breakthrough,13,Dumfries Denzel,FC Internazionale Milano
Game Face,5,Zaniolo Nicolo,AS Roma
Base,102,Ceesay Assan,US Lecce
Captain,7,Immobile Ciro,SS Lazio
Intergalactic,20,Kaka,AC Milan
Score Team,2,Tonali Sandro,AC Milan
Score Signatures,39,Olivera Mathias,SSC Napoli
Breakthrough,19,Gila Mario,SS Lazio
Breakthrough,20,Antonio Marcos,SS Lazio
Base,18,Gonzalez Nicolas,ACF Fiorentina
Base,11,Terzic Aleksa,ACF Fiorentina
Base,27,Zaniolo Nicolo,AS Roma
Score Signatures,23,Kalulu Pierre,AC Milan
Base,54,Vasquez Johan,US Cremonese
Base,156,Pellegri Pietro,Torino FC
Score Signatures,32,Danilo,Juventus
Score Signatures,24,Hernandez Theo,AC Milan
All Hands Team,8,Meret Alex,SSC Napoli
Breakthrough,3,Pobega Tommaso,AC Milan
Captain,6,Handanovic Samir,FC Internazionale Milano
Base,139,Zaccagni Mattia,SS Lazio
Breakthrough,28,Pirola Lorenzo,US Salernitana
Base,49,Orsolini Riccardo,Bologna FC
Breakthrough,29,Raspadori Giacomo,SSC Napoli
Intergalactic,8,Martinez Lautaro,FC Internazionale Milano
Base,153,Zima David,Torino FC
Base,173,Udogie Destiny,Udinese Calcio
