name,numbered,subset
Base,,Game Face
Silver Swirl,25,Base
Gold,10,Score Signatures
Gold,3,Score Signatures
Purple Lasers,15,Hot Rookies
Gold Swirl,10,All Hands Team
Gold Swirl,10,Captain
Base,3,Score Signatures
Base,39,Score Signatures
Orange Lasers,35,Base
Base,,All Hands Team
Base,,Captain
Gold Swirl,10,Breakthrough
Black Lasers,1,Score Team
Gold Swirl,10,Base
Pink Swirl,45,Base
Gold Swirl,10,Score Team
Swirl,,Base
Base,,Breakthrough
Base,,Score Team
Base,,Base
Green Lasers,5,Base
Black Lasers,1,All Hands Team
Black Lasers,1,Captain
Base,,Intergalactic
Gold Swirl,10,Hot Rookies
Black Swirl,1,All Hands Team
Black Swirl,1,Captain
Base,64,Score Signatures
Base,,Next Up
Base,6,Score Signatures
Red Swirl,65,Base
Purple Lasers,15,All Hands Team
Purple Lasers,15,Captain
Black Lasers,1,Base
Base,,Hot Rookies
Bronze Swirl,55,Base
Base,1,Score Signatures
Black,1,Score Signatures
Black Lasers,1,Breakthrough
Gold,1,Score Signatures
Black Swirl,1,Base
Base,89,Score Signatures
Black Swirl,1,Score Team
Black Swirl,1,Breakthrough
Base,199,Score Signatures
Purple Lasers,15,Score Team
Gold,5,Score Signatures
Purple Lasers,15,Base
Purple Lasers,15,Breakthrough
Lasers,,Base
Black Lasers,1,Hot Rookies
Base,19,Score Signatures
Black Swirl,1,Hot Rookies
Blue Lasers,60,Base
